date,event,severity
2018-05-08,Trump withdraws from JCPOA nuclear deal,High
2018-11-05,US re-imposes oil sanctions on Iran,High
2019-05-02,US ends sanction waivers for Iran oil buyers,High
2019-06-13,Gulf of Oman tanker attacks attributed to Iran,High
2019-09-14,Drone attacks on Saudi Aramco facilities,Critical
2020-01-03,US kills General Qasem Soleimani in Iraq,Critical
2020-01-08,Iran retaliates with missile strikes on US bases,Critical
2021-04-06,Vienna nuclear talks begin,Medium
2022-09-22,Iran protests begin and sanctions tightened,High
2023-10-07,Hamas attack triggers regional escalation fears,High
2024-04-01,Israel strikes Iranian consulate in Syria,Critical
2024-04-13,Iran launches direct missile attack on Israel,Critical
2025-01-20,Trump re-imposes maximum pressure on Iran,High
2025-03-12,US-Iran indirect nuclear negotiations reported,Medium
